Artist,Birth,Death,Art Title,DoC,Estimate,price,Dimentions,close date,Auction Title
Pierre Bonnard ,1867,1947,La Terrasse ou Une terrasse à Grasse,0,"USD 5,000,000 – USD 8,000,000","USD 19,570,000",(125.3 x 134.4 cm.),13 May 2019,"2019 | LIVE AUCTION 17154
IMPRESSIONIST AND MODERN ART EVENING SALE"
ANTONIO SAURA ,1930,1998,Crucifixión,1961,"GBP 200,000 – GBP 300,000","GBP 218,500",(190.2 x 237.5cm.),1 Jul 2014,"2014 | LIVE AUCTION 1535
POST-WAR & CONTEMPORARY ART EVENING AUCTION"
Pablo Picasso ,1881,1973,Guitare pendue au mur,1927,"USD 1,000,000 – USD 2,000,000","USD 1,215,000",(27.1 x 35.2 cm.),11 Nov 2019,"2019 | LIVE AUCTION 17658
IMPRESSIONIST AND MODERN ART EVENING SALE"
JEAN-HONORÉ FRAGONARD ,Grasse,HONORÉ,"Olympia clambers upon a rock, watching Bireno’s ship leave (Orlando Furioso, X, 23)",0,"USD 20,000 - USD 30,000","USD 75,000",(40.4 x 26.3 cm),28 Jan 2021,"14 Jan - 28 Jan 2021 | Online Auction 19290
Old Master & British Drawings including property from The Cornelia Bessie Estate"
Carlo Bossoli  and studio,Italian,1884,An aristocratic estate,0,"GBP 4,000 – GBP 6,000","GBP 5,000",(48 x 68 cm.),16 Mar 2017,"2017 | LIVE AUCTION 14415
19TH CENTURY EUROPEAN ART"
EVA ROTHSCHILD ,0,0,Maker,2005,"GBP 3,000 - GBP 5,000","GBP 8,125",(94 x 220 x 46cm.),11 Apr 2019,"4 Apr - 11 Apr 2019 | Online Auction 16799
First Open | Online"
YVES SAINT LAURENT ,1936,2008,Ondine. Acte II,0,"GBP 2,000 - GBP 3,000","GBP 6,250",(32.7 x 25cm.),19 Oct 2021,"5 Oct - 19 Oct 2021 | Online Auction 19842
First Open: Post-War & Contemporary Art Online"
ALBERT RENGER-PATZSCH ,1897,PATZSCH,"Quartz, vers 1923",0,"EUR 8,000 – EUR 12,000","EUR 17,500",(8 7/8 x 6 3/8 in.),20 Nov 2015,"2015 | LIVE AUCTION 4041
COLLECTION SHALOM SHPILMAN VENDUE AU PROFIT DU SHPILMAN INSTITUTE FOR PHOTOGRAPHY"
DONALD SULTAN ,0,0,Smokers,0,"USD 2,000 - USD 3,000","USD 2,125",(1051 x 1048 mm.),16 Sep 2021,"2 Sep - 16 Sep 2021 | Online Auction 20747
A Graphic Dialogue: Prints from the Collection of Lois B. Torf Online"
Yayoi Kusama ,1929,0,Butterflies,1998,"USD 70,000 – USD 90,000","USD 112,500",(55.8 x 38.1 x 30.4 cm.),13 Nov 2014,"2014 | LIVE AUCTION 2893
POST-WAR & CONTEMPORARY ART AFTERNOON SESSION"
"AN IMPORTANT EMPIRE 'POINT DE SAVONNERIE' TOURNAI CARPET, 'CIVILE'",0,0,"FROM THE 'COHORTES' SERIES, WOVEN BY MANUFACTURE PIAT LEFEBVRE ET FILS, CIRCA 1810",0,"USD 60,000 - USD 100,000","USD 212,500",(602 cm. x 620 cm.),1 Jul 2021,"15 Jun - 1 Jul 2021 | Online Auction 20533
Treasures of a Storied Manhattan Collection"
Émile-Octave-Denis-Victor Guillonnet ,French,Octave,Ballroom,0,"GBP 7,000 – GBP 10,000","GBP 20,000",(221 x 368.3 cm.),19 Sep 2019,"2019 | LIVE AUCTION 17346
VISIONS OF COLLECTING: ROYAL AND ARISTOCRATIC, AN IMPORTANT PRIVATE COLLECTION"
Vito Acconci ,1940,0,"Drawing: Voice of America - Portland, Oregon",1975,"GBP 7,000 – GBP 10,000","GBP 13,750",(137.7 x 101.7cm.),26 Mar 2014,"2014 | LIVE AUCTION 5585
POST-WAR AND CONTEMPORARY ART"
"LUCIAN FREUD, O.M., C.H. ",1922,2011,Annabel,0,"GBP 60,000 – GBP 80,000","GBP 77,500",(33 x 24.1 cm.),2 Mar 2021,"2021 | LIVE AUCTION 19784
MODERN BRITISH ART DAY SALE"
WILLIAM KLEIN ,0,0,"4 Heads, New York, 1955",0,"USD 2,000 – USD 3,000","USD 1,500",(32.3 x 24.1 cm.),6 Apr 2021,"2021 | LIVE AUCTION 19672
PHOTOGRAPHS"
ROBERT RAUSCHENBERG ,1925,2008,Bellini #5,0,"USD 10,000 - USD 15,000","USD 21,250",(1497 x 973 mm.),20 Jul 2021,"9 Jul - 20 Jul 2021 | Online Auction 20015
Contemporary Edition"
ATTRIBUTED TO HANS HYSING ,STOCKHOLM,1753,"Portrait of a lady, bust-length, in a silver dress and pink wrap, in a feigned oval",0,"GBP 1,500 - GBP 2,500","GBP 3,250",(76.2 x 63.5 cm.),21 Sep 2021,"1 Sep - 21 Sep 2021 | Online Auction 20209
Jasper Conran: The Collection Part II"
MARC CHAGALL ,1887,1985,Le Cirque: one plate,0,"USD 25,000 - USD 35,000","USD 31,250",(425 x 324 mm.),1 Mar 2018,"19 Feb - 1 Mar 2018 | Online Auction 16646
Marc Chagall: Le Cirque"
Salvador Dalí ,1904,1989,Scylla et Charybde,1970,"GBP 80,000 – GBP 120,000","GBP 74,500",(45 x 38.6 cm.),5 Feb 2015,"2015 | LIVE AUCTION 10335
IMPRESSIONIST/MODERN WORKS ON PAPER"
Hector Trotin ,1894,1966,Grande Fête de la Rosière,0,"GBP 800 – GBP 1,200","GBP 1,625",(46 x 61.2 cm.),6 Feb 2015,"2015 | LIVE AUCTION 10393
IMPRESSIONIST/MODERN & PICASSO CERAMICS"
Fernando Botero ,1932,0,La Baigneuse,1990,"USD 200,000 – USD 300,000","USD 230,500",(30.5 x 50.8 x 22.9 cm.),21 Nov 2012,"2012 | LIVE AUCTION 2600
LATIN AMERICAN SALE"
"HODGES, William . Early issues of the engraved plates to accompany the narrative of Cook's Second Voyage. London: 1776-1777.",1744,1797,,0,"GBP 10,000 – GBP 15,000","GBP 17,500",(452 x 620mm),29 Oct 2019,"2019 | LIVE AUCTION 17707
TOPOGRAPHICAL PICTURES INCLUDING SELECTIONS FROM THE KELTON COLLECTION"
Andy Warhol ,1928,1987,Camouflage,1986,"USD 120,000 – USD 180,000","USD 187,500",(50.8 x 40.6 cm.),14 Nov 2019,"2019 | LIVE AUCTION 17650
POST-WAR AND CONTEMPORARY ART MORNING SESSION"
Jan Davidsz. de Heem ,Utrecht,1684,"Flowers in a glass vase on a draped table, with a silver tazza, fruit, insects and birds",0,"GBP 1,200,000 – GBP 1,800,000","GBP 3,009,250",(114.3 x 91.4 cm.),3 Jul 2012,"2012 | LIVE AUCTION 5602
OLD MASTER & BRITISH PAINTINGS EVENING SALE"
On Kawara ,1932,2014,"AUG. 31, 1999",1999,"GBP 450,000 – GBP 650,000","GBP 572,750",(46 x 61cm.),5 Oct 2018,"2018 | LIVE AUCTION 15486
POST WAR AND CONTEMPORARY ART DAY AUCTION"
George Condo ,1957,0,Figure Composition 2,2008,"USD 60,000 – USD 80,000","USD 420,500",(127 x 116.8 cm.),18 May 2018,"2018 | LIVE AUCTION 15970
POST-WAR AND CONTEMPORARY ART AFTERNOON SESSION"
Georges Braque ,1882,1963,La coupe bleue,1937,"USD 180,000 – USD 250,000","USD 185,000",(24.3 x 35 cm.),15 May 2015,"2015 | LIVE AUCTION 3738
IMPRESSIONIST AND MODERN DAY SALE INCLUDING PROPERTY FROM THE JOHN C. WHITEHEAD COLLECTION"
RICHARD AVEDON ,1923,2004,"Dick Hickock, murderer; and Perry Smith, murderer, April 1960",0,"USD 25,000 – USD 35,000","USD 25,000",(15.2 x 15.2cm.),29 Sep 2014,"2014 | LIVE AUCTION 2877
PHOTOGRAPHS"
JAN JOSEFSZ. VAN GOYEN ,LEIDEN,1656,"A river landscape with sailing vessels, fishermen’s boats and a ferry with peasants and cattle",0,"GBP 30,000 - GBP 50,000","GBP 37,500",(38.7 x 51.3 cm.),9 Jul 2021,"18 Jun - 9 Jul 2021 | Online Auction 20054
Old Master Paintings & Sculpture Online"
GERHARD RICHTER ,0,0,"Betty, 1991",0,0,0,(29 7/8 x 20 7/8 in.),14 Nov 2014,"2014 | LIVE AUCTION 3616
20/21 PHOTOGRAPHS"
Milton Avery ,1885,1965,Table and Telephone,1942,"USD 30,000 - USD 50,000","USD 25,000",(61 cm. x 46.4 cm.),20 Nov 2018,"14 Nov - 20 Nov 2018 | Online Auction 16472
American Art Online"
Vik Muniz ,1961,0,Aparecida (from Pictures of Aftermath),1998,"USD 12,000 - USD 18,000","USD 9,375",(152.4 x 121.9 cm.),5 Feb 2020,"28 Jan - 5 Feb 2020 | Online Auction 19045
Christie's 100"
Attributed to Wilhelm Schuber van Ehrenberg  Attributed to Hieronymus Janssens ,Antwerp,c,Interior of a Baroque church with elegant figures,0,"GBP 30,000 – GBP 50,000","GBP 103,250",(160 x 231 cm.),5 Dec 2012,"2012 | LIVE AUCTION 5965
OLD MASTER & BRITISH PAINTINGS DAY SALE"
Henri Matisse ,1869,1954,Etude de champignons (recto and verso),0,"USD 3,000 - USD 5,000","USD 6,875",(25.7 x 33 cm.),23 Jun 2021,"9 Jun - 23 Jun 2021 | Online Auction 20525
Matisse on Paper: Prints & Drawings from the Estate of Jacquelyn Miller Matisse, Online"
"LAURENCE STEPHEN LOWRY, R.A. ",1887,1976,Men at a meeting,0,"GBP 25,000 – GBP 35,000","GBP 18,750",(36.2 x 26 cm.),2 Mar 2021,"2021 | LIVE AUCTION 19784
MODERN BRITISH ART DAY SALE"
Paulina Olowska ,1976,0,Diesel,2003,"USD 15,000 – USD 20,000","USD 43,750",(139.7 x 100.3 cm.),12 May 2015,"2015 | LIVE AUCTION 3742
POST-WAR AND CONTEMPORARY ART DAY SALE SESSION I"
