Artist,Birth,Death,Age,Alive?,popularity,Art Title,DoC,Currency,price,low_estimate,high_estimate,Sold,Est Accuracy,Dimentions,close date,Auction Title
pierre bonnard ,1867,1947,80,0,"114,000",La Terrasse ou Une terrasse à Grasse,0,USD,19570000.0,5000000.0,8000000.0,1,1,(125.3 x 134.4 cm.),2019,IMPRESSIONIST AND MODERN ART EVENING SALE
antonio saura ,1930,1998,68,0,"212,000",Crucifixión,1961,USD,273125.0,250000.0,375000.0,1,0,(190.2 x 237.5cm.),2014,POST-WAR & CONTEMPORARY ART EVENING AUCTION
pablo picasso ,1881,1973,92,0,"475,000",Guitare pendue au mur,1927,USD,1215000.0,1000000.0,2000000.0,1,0,(27.1 x 35.2 cm.),2019,IMPRESSIONIST AND MODERN ART EVENING SALE
yves saint laurent ,1936,2008,72,0,"549,000",Ondine. Acte II,0,USD,7812.5,2500.0,3750.0,1,1,(32.7 x 25cm.),2021,First Open: Post-War & Contemporary Art Online
yayoi kusama ,1929,0,93,1,"106,000",Butterflies,1998,USD,112500.0,70000.0,90000.0,1,1,(55.8 x 38.1 x 30.4 cm.),2014,POST-WAR & CONTEMPORARY ART AFTERNOON SESSION
vito acconci ,1940,0,82,1,"73,200","Drawing: Voice of America - Portland, Oregon",1975,USD,17187.5,8750.0,12500.0,1,1,(137.7 x 101.7cm.),2014,POST-WAR AND CONTEMPORARY ART
"lucian freud, o.m., c.h. ",1922,2011,89,0,"36,000",Annabel,0,USD,96875.0,75000.0,100000.0,1,0,(33 x 24.1 cm.),2021,MODERN BRITISH ART DAY SALE
robert rauschenberg ,1925,2008,83,0,"348,000",Bellini #5,0,USD,21250.0,10000.0,15000.0,1,1,(1497 x 973 mm.),2021,Contemporary Edition
marc chagall ,1887,1985,98,0,"276,000",Le Cirque: one plate,0,USD,31250.0,25000.0,35000.0,1,0,(425 x 324 mm.),2018,Marc Chagall: Le Cirque
salvador dalí ,1904,1989,85,0,"2,410,000",Scylla et Charybde,1970,USD,93125.0,100000.0,150000.0,1,-1,(45 x 38.6 cm.),2015,IMPRESSIONIST/MODERN WORKS ON PAPER
hector trotin ,1894,1966,72,0,"38,600",Grande Fête de la Rosière,0,USD,2031.25,1000.0,1500.0,1,1,(46 x 61.2 cm.),2015,IMPRESSIONIST/MODERN & PICASSO CERAMICS
