Title,Date,Type,Total Sales,Location,URL
20th/21st Century: Amsterdam,12 – 26 April,ONLINE AUCTION ,"EUR 2,795,814",AMSTERDAM,https://onlineonly.christies.com/sso?SaleID=29505&SaleNumber=20823
No Regrets: 20/21 Art Online: All Originals,7 – 22 April,ONLINE AUCTION ,"HKD 10,513,440",HONG KONG,https://onlineonly.christies.com/sso?SaleID=29073&SaleNumber=19896
Prints & Multiples,22-Apr,LIVE AUCTION ,"USD 4,920,300",NEW YORK,https://www.christies.com/en/auction/prints-multiples-29600/
No Regrets: 20/21 Art Online: All Editions,7 – 21 April,ONLINE AUCTION ,"HKD 5,449,122",HONG KONG,https://onlineonly.christies.com/sso?SaleID=29846&SaleNumber=21552
Collection Jacqueline Matisse Monnier,13-Apr,LIVE AUCTION ,"EUR 40,488,048",PARIS,https://www.christies.com/en/auction/collection-jacqueline-matisse-monnier-29797/
European Art,1 – 12 April,ONLINE AUCTION ,"USD 1,469,160",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29458&SaleNumber=20675
Photographs from the Richard Gere Collection,23 March – 7 April,ONLINE AUCTION ,"USD 2,422,350",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29782&SaleNumber=21379
Collection Roland Petit & Zizi Jeanmaire : un patrimoine pour la danse,25 March – 6 April,ONLINE AUCTION ,"EUR 820,512",PARIS,https://onlineonly.christies.com/sso?SaleID=29681&SaleNumber=21060
Photographs,23 March – 5 April,ONLINE AUCTION ,"USD 1,319,346",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29366&SaleNumber=20475
"The Collector: English & European Furniture, Ceramics, Silver & Works of Art",22 March – 5 April,ONLINE AUCTION ,"USD 3,941,532",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29457&SaleNumber=20673
Oeuvres Modernes sur papier / Art Impressionniste et Moderne,31-Mar,LIVE AUCTION ,"EUR 16,298,998",PARIS,https://www.christies.com/en/auction/oeuvres-modernes-sur-papier-art-impressionniste-et-moderne-29549/
The Andy Warhol Diaries,17 – 31 March,ONLINE AUCTION ,"USD 1,150,758",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29817&SaleNumber=21470
Une passion surréaliste : Collection Inna & Boris Salomon,30-Mar,LIVE AUCTION ,"EUR 4,897,890",PARIS,https://www.christies.com/en/auction/une-passion-surr-aliste-collection-inna-boris-salomon-28838/
Dramas of Light and Land: The Martyn Gregory Collection of British Art,10 – 24 March,ONLINE AUCTION ,"GBP 559,818",LONDON,https://onlineonly.christies.com/sso?SaleID=29744&SaleNumber=21183
Prints and Multiples,10 – 24 March,ONLINE AUCTION ,"GBP 2,163,924",LONDON,https://onlineonly.christies.com/sso?SaleID=29311&SaleNumber=20265
Modern British and Irish Art Day Sale,23-Mar,LIVE AUCTION ,"GBP 5,103,630",LONDON,https://www.christies.com/en/auction/modern-british-and-irish-art-day-sale-29650/
