Artist,Birth,Death,Age,Alive?,Art Title,DoC,Currency,price,low_estimate,high_estimate,Sold,Est Accuracy,Dimentions,close date,Auction Title,relPop,relPopEarly,relPopChange,closeMonth,closeYear
moise kisling ,1891,1953,62,0,Nu,1931,USD,81250.0,40000.0,60000.0,1,1,(73 x 54 cm.),17,IMPRESSIONIST & MODERN ART DAY SALE,,,,11,16
george edward lodge ,1860,1954,94,0,Golden eagle on a branch,0,USD,2656.25,1500.0,2250.0,1,1,(34.6 x 24.7 cm.),18,"The Astor Collection from Tillypronie, Aberdeenshire",,,,12,17
helen frankenthaler ,1928,2011,83,0,Cinnamon Burn,1968,USD,663750.0,300000.0,500000.0,1,1,(304.8 x 208.2 cm.),16,POST-WAR & CONTEMPORARY MORNING SESSION,,,,05,13
sir john alfred arnesby brown,1866,1955,89,0,"The Round Tower, Haddiscoe",0,USD,26562.5,15000.0,22500.0,1,1,(66 x 91.4 cm.),13,VICTORIAN & BRITISH IMPRESSIONIST ART,,,,12,12
raymond pettibon ,1957,0,65,1,Untitled (But come up),1987,USD,9375.0,3750.0,6250.0,1,1,(35.3 x 27.7cm.),20,First Open Online,,,,09,18
keltie ferris ,1977,0,45,1,Ghost Trees,2018,USD,50000.0,30000.0,50000.0,1,1,(182.9 x 152.4 cm.),27,POST-WAR TO PRESENT,,,,09,18
robert rauschenberg ,1925,2008,83,0,Calendar,1962,USD,2741000.0,3000000.0,5000000.0,1,-1,(243.8 x 152.4 cm.),13,POST-WAR AND CONTEMPORARY ART EVENING SALE,,,,05,15
rembrandt harmensz. van rijn ,1606,1669,63,0,"Christ and the Woman of Samaria: an Arched print (Bartsch, Hollstein 70; Hind 294; New Hollstein 302)",70,USD,1718.75,1250.0,1875.0,1,0,0,04,500 YEARS OF PRINTMAKING,,,,12,13
"george howard, 9th earl of carlisle ",1843,1911,68,0,Study of a standing draped female figure,0,USD,2343.75,1250.0,1875.0,1,1,(31.1 x 15 cm.),13,VICTORIAN PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART,,,,12,17
karel appel ,1921,2006,85,0,Tétes dans Tempête (Heads in the Tempest),1960,USD,144375.0,126000.0,168000.0,1,0,0,24,POST-WAR AND CONTEMPORARY ART,,,,04,18
alberto giacometti ,1901,1966,65,0,Femme assise et verre à pied,0,USD,41895.0,21000.0,31500.0,1,1,0,31,OEUVRES MODERNES SUR PAPIER,,,,03,16
lucebert ,1924,1994,70,0,Untitled,0,USD,7276.5,4200.0,6300.0,1,1,0,26,20th/21st Century: Amsterdam,,,,04,22
odilon redon ,1840,1916,76,0,Visage-Germination,1888,USD,233000.0,100000.0,150000.0,1,1,(52.5 x 37.2 cm.),05,A DIALOGUE THROUGH ART: WORKS FROM THE JAN KRUGIER COLLECTION DAY SALE,,,,11,13
jack whitten ,1939,2018,79,0,Virgin Space Loop #19,2012,USD,87500.0,60000.0,80000.0,1,1,(30.5 x 30.5 cm.),16,POST-WAR AND CONTEMPORARY ART AFTERNOON SESSION,,,,05,19
nicolas party ,1980,0,42,1,Still Life No 103,2012,USD,10625.0,2500.0,3750.0,1,1,(16.5 x 22.2cm.),28,POST-WAR TO PRESENT,,,,06,18
samuel holburn fyfe ,1822,1905,83,0,The clipper John R. Worcester outward-bound from the Clyde off Pladda Island,0,USD,3906.25,3125.0,4375.0,1,0,(71 x 111.8 cm.),05,MARITIME ART,,,,06,14
pedro friedeberg ,1936,0,86,1,Pair of Hand Chairs,0,USD,18750.0,15000.0,20000.0,1,0,(86.4 x 48.3 x 50.8 cm.),30,Latin American Art Online,,,,05,18
gunther gerzso ,1915,2000,85,0,Trópico calizo,1992,USD,137500.0,70000.0,90000.0,1,1,(81.3 x 100.3 cm.),30,LATIN AMERICAN ART,,,,07,20
brassaï ,1899,1950,51,0,"Graffiti (Serie IV, Masques et Visages), 1935-1950",0,USD,18750.0,10000.0,15000.0,1,1,(40 x 30.4 cm.),14,The Unseen Eye: Photographs from the W.M. Hunt Collection,,,,10,20
andy warhol ,1928,1987,59,0,Marilyn Monroe (Marilyn): one print,0,USD,187500.0,100000.0,150000.0,1,1,(914 x 914 mm.),22,PRINTS & MULTIPLES,,,,10,21
arman ,1928,2005,77,0,Sans titre,0,USD,787.5,1260.0,1890.0,1,-1,(13 5/8 x 21¼ in.),26,"DAGNY ET JAN RUNNQVIST, GALERIE BONNIER, UN DEMI-SIÈCLE DE PASSION ET D'ENGAGEMENTS ARTISTIQUES",,,,10,13
andy warhol ,1928,1987,59,0,Marilyn Monroe (Marilyn): one print,0,USD,100000.0,80000.0,120000.0,1,0,(914 x 914 mm.),23,PRINTS & MULTIPLES,,,,10,19
pablo picasso ,1881,1973,92,0,Verve,0,USD,68750.0,30000.0,50000.0,1,1,(35.6 x 26.5 cm.),16,IMPRESSIONIST AND MODERN ART WORKS ON PAPER,,,,05,18
walter leblanc ,1932,1986,54,0,Twisted Strings TX. 171,1971,USD,87937.5,73500.0,94500.0,1,0,0,01,POST-WAR & CONTEMPORARY ART,,,,05,19
bernard buffet ,1928,1999,71,0,Compotier sur un plateau,1991,USD,91562.5,75000.0,100000.0,1,0,(73 x 92 cm.),21,IMPRESSIONIST/MODERN DAY SALE,,,,06,12
jean paul riopelle ,1923,2002,79,0,P.M.12,1960,USD,595350.0,52500.0,73500.0,1,1,0,13,COLLECTION JACQUELINE MATISSE MONNIER,,,,04,22
gavin turk ,1967,0,55,1,Cave,1997,USD,62500.0,50000.0,75000.0,1,0,(on the reverse),30,POST-WAR AND CONTEMPORARY ART DAY AUCTION,,,,06,16
paul cezanne ,1839,1906,67,0,Autoportrait,0,USD,1718.75,1500.0,2250.0,1,0,(and similar),04,PRINTS & MULTIPLES,,,,12,14
tom wesselmann ,1931,2004,73,0,Monica with Wesselmann,1992,USD,234375.0,150000.0,225000.0,1,1,(162.5 x 122.5cm.),07,POST-WAR AND CONTEMPORARY ART DAY AUCTION,,,,10,17
d'apres piet mondrian ,1872,1944,72,0,Mondrian,0,USD,6562.5,5250.0,7350.0,1,0,0,09,Collection Greta Stroeh : Hommage à Arp,,,,06,20
andy warhol ,1928,1987,59,0,Knives,1981,USD,3015000.0,1600000.0,2000000.0,1,1,(228.6 x 177.8 cm.),14,POST-WAR AND CONTEMPORARY ART MORNING SESSION,,,,11,19
francis bacon ,1909,1992,83,0,Two Men Working in a Field,1971,USD,13403125.0,8750000.0,12500000.0,1,1,(198 x 147cm.),30,POST-WAR AND CONTEMPORARY ART EVENING AUCTION,,,,06,15
lynn chadwick,1914,2003,89,0,Sitting Figures on Stripes,0,USD,5000.0,1875.0,3125.0,1,1,(19 x 28.2 cm.),11,MODERN BRITISH ART DAY SALE,,,,07,13
giorgio de chirico ,1888,1978,90,0,i) Il primo a traversarlo fu l'Ippogrifo quando portò Ruggero... ii) ... Ma quasi in grembo a Ruggero,0,USD,15625.0,15000.0,22500.0,1,0,(21 x 15.5 cm.),06,IMPRESSIONIST AND MODERN WORKS ON PAPER,,,,02,20
emil nolde ,1867,1956,89,0,Porträt eines Mädchens (schwarzes Haar),0,USD,200000.0,80000.0,120000.0,1,1,(47.1 x 36 cm.),12,IMPRESSIONIST AND MODERN ART WORKS ON PAPER,,,,11,18
alighiero boetti ,1940,1994,54,0,Mappa,1990,USD,2167500.0,800000.0,1200000.0,1,1,(120.5 x 224.8 cm.),15,POST-WAR & CONTEMPORARY ART EVENING SALE,,,,11,16
alberto giacometti ,1901,1966,65,0,Portrait de Soshana,1958,USD,46875.0,25000.0,37500.0,1,1,(51.2 x 32.8 cm.),23,IMPRESSIONIST & MODERN ART WORKS ON PAPER,,,,06,16
"j. child, circa 1810",1759,1806,47,0,"Bust of William Pitt the Younger (1759-1806), en brunaille",0,USD,781.25,1250.0,1875.0,1,-1,(73.2 x 66 cm.),21,Jasper Conran: The Collection Part II,,,,09,21
wifredo lam ,1902,1982,80,0,Untitled (Personnages),1958,USD,43750.0,25000.0,30000.0,1,1,(58.4 x 90 cm.),21,LATIN AMERICAN ART,,,,11,19
howard hodgkin ,1932,2016,84,0,"As you'd been wont - Wantonly Wantonly Eros Past, from: The Way We Live Now",0,USD,1562.5,1250.0,1875.0,1,0,0,26,Contemporary Edition,,,,09,18
andy warhol ,1928,1987,59,0,Flowers,1964,USD,8411750.0,6000000.0,9000000.0,1,0,(60.9 x 60.9 cm.),15,POST-WAR & CONTEMPORARY EVENING SALE,,,,05,13
georges braque ,1882,1963,81,0,L'aquarium bleu,1960,USD,725000.0,300000.0,400000.0,1,1,(76.5 x 106.4 cm.),15,IMPRESSIONIST AND MODERN DAY SALE INCLUDING PROPERTY FROM THE JOHN C. WHITEHEAD COLLECTION,,,,05,15
