Artist,Birth,Death,Age,Alive?,Art Title,DoC,Currency,price,low_estimate,high_estimate,Sold,Est Accuracy,Dimentions,close date,Auction Title,closeMonth,closeYear,popularity
moise kisling ,1891,1953,62,0,Nu,1931,USD,81250,40000,60000,1,1,(73 x 54 cm.),17,IMPRESSIONIST & MODERN ART DAY SALE,11,16,"22,800"
george edward lodge ,1860,1954,94,0,Golden eagle on a branch,0,USD,2656.25,1500,2250,1,1,(34.6 x 24.7 cm.),18,"The Astor Collection from Tillypronie, Aberdeenshire",12,17,"4,820,000"
helen frankenthaler ,1928,2011,83,0,Cinnamon Burn,1968,USD,663750,300000,500000,1,1,(304.8 x 208.2 cm.),16,POST-WAR & CONTEMPORARY MORNING SESSION,5,13,"27,900"
sir john alfred arnesby brown,1866,1955,89,0,"The Round Tower, Haddiscoe",0,USD,26562.5,15000,22500,1,1,(66 x 91.4 cm.),13,VICTORIAN & BRITISH IMPRESSIONIST ART,12,12,"2,130"
raymond pettibon ,1957,0,65,1,Untitled (But come up),1987,USD,9375,3750,6250,1,1,(35.3 x 27.7cm.),20,First Open Online,9,18,"43,700"
keltie ferris ,1977,0,45,1,Ghost Trees,2018,USD,50000,30000,50000,1,1,(182.9 x 152.4 cm.),27,POST-WAR TO PRESENT,9,18,"28,100"
robert rauschenberg ,1925,2008,83,0,Calendar,1962,USD,2741000,3000000,5000000,1,-1,(243.8 x 152.4 cm.),13,POST-WAR AND CONTEMPORARY ART EVENING SALE,5,15,"350,000"
rembrandt harmensz. van rijn ,1606,1669,63,0,"Christ and the Woman of Samaria: an Arched print (Bartsch, Hollstein 70; Hind 294; New Hollstein 302)",70,USD,1718.75,1250,1875,1,0,0,4,500 YEARS OF PRINTMAKING,12,13,"51,300"
"george howard, 9th earl of carlisle ",1843,1911,68,0,Study of a standing draped female figure,0,USD,2343.75,1250,1875,1,1,(31.1 x 15 cm.),13,VICTORIAN PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART,12,17,"16,400"
karel appel ,1921,2006,85,0,Tétes dans Tempête (Heads in the Tempest),1960,USD,144375,126000,168000,1,0,0,24,POST-WAR AND CONTEMPORARY ART,4,18,"167,000"
alberto giacometti ,1901,1966,65,0,Femme assise et verre à pied,0,USD,41895,21000,31500,1,1,0,31,OEUVRES MODERNES SUR PAPIER,3,16,"65,200"
lucebert ,1924,1994,70,0,Untitled,0,USD,7276.5,4200,6300,1,1,0,26,20th/21st Century: Amsterdam,4,22,"28,100"
odilon redon ,1840,1916,76,0,Visage-Germination,1888,USD,233000,100000,150000,1,1,(52.5 x 37.2 cm.),5,A DIALOGUE THROUGH ART: WORKS FROM THE JAN KRUGIER COLLECTION DAY SALE,11,13,"45,100"
jack whitten ,1939,2018,79,0,Virgin Space Loop #19,2012,USD,87500,60000,80000,1,1,(30.5 x 30.5 cm.),16,POST-WAR AND CONTEMPORARY ART AFTERNOON SESSION,5,19,"223,000"
nicolas party ,1980,0,42,1,Still Life No 103,2012,USD,10625,2500,3750,1,1,(16.5 x 22.2cm.),28,POST-WAR TO PRESENT,6,18,"21,000,000"
samuel holburn fyfe ,1822,1905,83,0,The clipper John R. Worcester outward-bound from the Clyde off Pladda Island,0,USD,3906.25,3125,4375,1,0,(71 x 111.8 cm.),5,MARITIME ART,6,14,"208,000"
pedro friedeberg ,1936,0,86,1,Pair of Hand Chairs,0,USD,18750,15000,20000,1,0,(86.4 x 48.3 x 50.8 cm.),30,Latin American Art Online,5,18,"18,800"
gunther gerzso ,1915,2000,85,0,Trópico calizo,1992,USD,137500,70000,90000,1,1,(81.3 x 100.3 cm.),30,LATIN AMERICAN ART,7,20,"13,000"
brassaï ,1899,1950,51,0,"Graffiti (Serie IV, Masques et Visages), 1935-1950",0,USD,18750,10000,15000,1,1,(40 x 30.4 cm.),14,The Unseen Eye: Photographs from the W.M. Hunt Collection,10,20,"87,600"
andy warhol ,1928,1987,59,0,Marilyn Monroe (Marilyn): one print,0,USD,187500,100000,150000,1,1,(914 x 914 mm.),22,PRINTS & MULTIPLES,10,21,"3,310,000"
