,Artist,Title,Location,Currency,Date,Signed,Sold,Selling Price,low_estimate,high_estimate,Category,Auction Name,Image
0,"French School, 18th Century, A white greyhound "," Ecole française du XVIIIe siècle, Lévrier blanc",Paris,USD,2022,False,False,0.0,5550.5,7770.7,Old Masters,ANIMALS,https://sothebys-md.brightspotcdn.com/dims4/default/c69de84/2147483647/strip/true/crop/1616x2000+0+0/resize/2048x2535!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F97%2F83%2F0cc1ea274aedbaf1afbf10d6de33%2Fpf2228-c8cyf-01.jpg
1,François Léon Prieur-Bardin,On the Bosphorus,London,USD,2022,True,True,62830.65,39367.57,52490.1,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/cd1cd4f/2147483647/strip/true/crop/2000x1327+0+0/resize/2048x1359!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F65%2F63%2F5f8f90514ed4be1febf6720e9218%2Fl22100-c6frw-01-t2.jpg
2,Stefano Ussi,A Moroccan Guard,London,USD,2022,False,True,7936.5,5249.01,7873.51,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/43b49c7/2147483647/strip/true/crop/1096x2000+0+0/resize/2048x3737!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F4d%2F53%2Ff755f5a94adf8932c98282bd4e85%2F020l22100-c38r9-t3-02-a.jpg
3,Ludwig Deutsch,Before the Mosque,London,USD,2022,True,False,0.0,262450.5,393675.75,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/f875147/2147483647/strip/true/crop/1487x2000+0+0/resize/2048x2755!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F57%2F45%2F294da06d40559a0213e2778c3967%2Fl22100-c29xv-01a-t1.jpg
4,Eugène Girardet,The Caravan,London,USD,2022,True,False,0.0,65612.62,91857.67,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/6bfd2ad/2147483647/strip/true/crop/2000x1176+0+0/resize/2048x1204!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F00%2F4d%2Fbfb956dc45838e3cef077c92dce2%2Fl22100-c52wp-01-t2.jpg
5,European School,The Musician,London,USD,2022,True,True,4629.63,2624.5,3936.76,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/69d43d7/2147483647/strip/true/crop/1632x2000+0+0/resize/2048x2510!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F1d%2F4c%2F22b9dc59453d9f3ef65f9e68e9f3%2Fl22100-c38hn-01-t3.jpg
6,Alberto Pasini,The Yesil Mosque in Bursa,London,USD,2022,True,True,99206.29,78735.15,104980.2,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/ddc0d05/2147483647/strip/true/crop/1177x2000+0+0/resize/2048x3480!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fd4%2F57%2F2a1389b14f47a5a8874104d4c075%2Fl22100-c6fry-01a-t1.jpg
7,René Legrand,"Halt by an Inn, North Africa",London,USD,2022,True,True,1653.44,2624.5,3936.76,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/c093bc4/2147483647/strip/true/crop/2000x1244+0+0/resize/2048x1274!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F05%2F20%2F447d56b84f9c830c8ec624f62668%2Fl22100-c38lr-01a-t2.jpg
8,Narcisse Berchère,Mahallet-el-Kebir (Lower Egypt),London,USD,2022,True,True,31415.32,15747.03,23620.54,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/a203075/2147483647/strip/true/crop/2000x1572+0+0/resize/2048x1610!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F0c%2F81%2F6516ac8d49578697dac971bf5063%2Fl22100-c6n4k-01-t2.jpg
9,Maurice Bompard,"Man with a Pipe, Biskra",London,USD,2022,True,True,9093.91,7873.51,10498.02,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/0773e98/2147483647/strip/true/crop/1401x2000+0+0/resize/2048x2924!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F7b%2F7d%2F7577486f4d608a5724237387d5a5%2Fl22100-c38kv-01-t2.jpg
